,Rank,Team,League,Expenditures,Arrivals,Incomes,Departures,Net Balance,Year
110,106,Al Arabi Sports Club,Qatar,£4.32m,7,-,8,"-4,80 Mill. £",2006.0
111,107,Celta de Vigo,LaLiga,£4.28m,13,-,18,"-4,75 Mill. £",2006.0
112,108,FK Moskau,Premier Liga,£4.23m,12,£1.35m,10,"-3,20 Mill. £",2006.0
113,109,Red Bull Salzburg,Bundesliga,£4.19m,19,£810k,19,"-3,75 Mill. £",2006.0
114,110,Clube de Regatas do Flamengo,Série A,£4.05m,34,£3.15m,37,"-1,00 Mill. £",2006.0
115,111,Al-Ain FC,United Arab Emirates,£4.05m,7,-,7,"-4,50 Mill. £",2006.0
116,112,Spartak Moscow,Premier Liga,£4.05m,9,£8.62m,10,"5,08 Mill. £",2006.0
117,113,São Paulo Futebol Clube,Série A,£3.96m,42,£11.86m,37,"8,78 Mill. £",2006.0
118,114,Getafe CF,LaLiga,£3.87m,13,£11.65m,15,"8,64 Mill. £",2006.0
119,115,Standard Liège,Jupiler Pro League,£3.78m,30,£2.77m,24,"-1,13 Mill. £",2006.0
120,116,CFR Cluj,Liga 1,£3.76m,22,£90k,15,"-4,08 Mill. £",2006.0
121,117,Club Atlético Independiente,Torneo Final,£3.71m,23,£23.85m,23,"22,38 Mill. £",2006.0
122,118,Beitar Jerusalem,Ligat ha'Al,£3.63m,16,-,13,"-4,04 Mill. £",2006.0
123,119,Santos FC,Série A,£3.60m,28,-,32,"-4,00 Mill. £",2006.0
124,120,Saturn Ramenskoe,Premier Liga,£3.60m,17,£5.67m,15,"2,30 Mill. £",2006.0
125,121,Juventus FC,Serie B,£3.60m,45,£75.87m,28,"80,30 Mill. £",2006.0
126,122,Olympiacos Piraeus,Super League,£3.54m,25,£4.95m,22,"1,57 Mill. £",2006.0
127,123,ES Troyes AC,Ligue 1,£3.51m,17,£1.44m,20,"-2,30 Mill. £",2006.0
128,124,Levante UD,LaLiga,£3.47m,18,-,16,"-3,85 Mill. £",2006.0
129,125,Galatasaray SK,Süper Lig,£3.42m,20,£180k,16,"-3,60 Mill. £",2006.0
131,126,Coventry City,Championship,£3.33m,35,£6.48m,35,"3,50 Mill. £",2006.0
132,127,Ulsan Hyundai,K League 1,£3.33m,18,£2.16m,11,"-1,30 Mill. £",2006.0
133,128,Valenciennes FC,Ligue 1,£3.33m,10,-,12,"-3,70 Mill. £",2006.0
134,129,Chievo Verona,Serie A,£3.15m,37,£7.88m,26,"5,25 Mill. £",2006.0
135,130,Club Atlético Banfield,Torneo Final,£3.15m,20,£5.43m,18,"2,53 Mill. £",2006.0
136,131,Preston North End,Championship,£3.11m,22,£5.00m,24,"2,10 Mill. £",2006.0
137,132,Dynamo Kyiv,Premier Liga,£3.11m,17,£3.33m,17,250 Th. £,2006.0
138,133,AC Siena,Serie A,£3.11m,33,£2.70m,31,-450 Th. £,2006.0
139,134,Kuban Krasnodar,Premier Liga,£3.09m,24,-,19,"-3,43 Mill. £",2006.0
140,135,Seongnam Ilhwa Chunma FC,K League 1,£2.97m,13,-,15,"-3,30 Mill. £",2006.0
141,136,FC Basel 1893,Super League,£2.96m,14,£11.52m,17,"9,52 Mill. £",2006.0
142,137,Manisaspor,Süper Lig,£2.91m,29,£3.60m,21,770 Th. £,2006.0
143,138,Hull City,Championship,£2.86m,27,£3.17m,26,350 Th. £,2006.0
144,139,Rapid Bucharest,Liga 1,£2.81m,12,£3.56m,18,825 Th. £,2006.0
145,140,Hertha BSC,Bundesliga,£2.79m,16,£4.19m,14,"1,55 Mill. £",2006.0
146,141,Leeds United,Championship,£2.78m,35,£8.48m,35,"6,34 Mill. £",2006.0
147,142,Konyaspor,Süper Lig,£2.75m,19,£873k,22,"-2,08 Mill. £",2006.0
148,143,Racing Club,Torneo Final,£2.70m,20,£3.43m,29,805 Th. £,2006.0
149,144,CF Monterrey,Liga MX Clausura,£2.70m,22,£270k,19,"-2,70 Mill. £",2006.0
150,145,Ternana Calcio,Serie C - B,£2.70m,44,£1.63m,31,"-1,19 Mill. £",2006.0
151,146,Viking Stavanger,Eliteserien,£2.70m,12,£135k,12,"-2,85 Mill. £",2006.0
152,147,Club Estudiantes de La Plata,Torneo Final,£2.66m,24,£3.72m,19,"1,18 Mill. £",2006.0
153,148,Atalanta BC,Serie A,£2.63m,27,£1.71m,25,"-1,02 Mill. £",2006.0
154,149,Vitesse Arnhem,Eredivisie,£2.61m,19,£180k,11,"-2,70 Mill. £",2006.0
155,150,Suwon Samsung Bluewings FC,K League 1,£2.61m,23,£198k,12,"-2,68 Mill. £",2006.0
157,151,Wolverhampton Wanderers,Championship,£2.57m,29,£9.23m,29,"7,39 Mill. £",2006.0
158,152,West Bromwich Albion,Championship,£2.57m,18,£2.30m,17,-300 Th. £,2006.0
159,153,Luton Town,Championship,£2.56m,21,£6.70m,19,"4,61 Mill. £",2006.0
160,154,Legia Warszawa,Ekstraklasa,£2.48m,18,£1.35m,17,"-1,25 Mill. £",2006.0
161,155,RCD Espanyol Barcelona,LaLiga,£2.45m,13,£405k,13,"-2,28 Mill. £",2006.0
162,156,Urawa Red Diamonds,J1 League,£2.43m,3,-,8,"-2,70 Mill. £",2006.0
163,157,Dinamo Bukarest,Liga 1,£2.41m,34,£2.99m,33,645 Th. £,2006.0
164,158,ACD Treviso,Serie B,£2.41m,29,£5.22m,34,"3,13 Mill. £",2006.0
165,159,Stoke City,Championship,£2.30m,37,£2.12m,32,-200 Th. £,2006.0
166,160,Red Star Belgrade,SuperLiga,£2.29m,30,£21.59m,27,"21,45 Mill. £",2006.0
167,161,UNAM Pumas,Liga MX Clausura,£2.25m,15,-,15,"-2,50 Mill. £",2006.0
168,162,FC Empoli,Serie A,£2.25m,20,£9.00m,17,"7,50 Mill. £",2006.0
169,163,Cruzeiro Esporte Clube,Série A,£2.18m,78,£20.39m,57,"20,23 Mill. £",2006.0
170,164,Torpedo Moscow,1.Division,£2.16m,23,£5.15m,16,"3,33 Mill. £",2006.0
171,165,Politehnica Timisoara,Liga 1,£2.14m,26,£2.32m,19,200 Th. £,2006.0
172,166,Fluminense Football Club,Série A,£2.12m,39,£7.38m,31,"5,85 Mill. £",2006.0
173,167,Udinese Primavera,Italy,£2.12m,6,-,6,"-2,35 Mill. £",2006.0
174,168,AS Livorno,Serie A,£2.12m,24,-,25,"-2,35 Mill. £",2006.0
175,169,Bröndby IF,Superligaen,£2.07m,16,£5.13m,12,"3,40 Mill. £",2006.0
176,170,FC Bayern Munich U19,A-Junioren Bundesliga Süd/Südwest,£2.07m,6,-,16,"-2,30 Mill. £",2006.0
177,171,Eintracht Frankfurt,Bundesliga,£2.06m,9,£612k,9,"-1,61 Mill. £",2006.0
178,172,Club Atlético San Lorenzo de Almagro,Torneo Final,£1.98m,25,£2.70m,26,800 Th. £,2006.0
179,173,KRC Genk,Jupiler Pro League,£1.98m,12,£6.01m,15,"4,48 Mill. £",2006.0
180,174,Parma FC,Serie A,£1.96m,23,£17.82m,26,"17,63 Mill. £",2006.0
181,175,Lillestrøm SK,Eliteserien,£1.96m,9,£180k,11,"-1,98 Mill. £",2006.0
183,176,Frosinone Calcio,Serie B,£1.94m,21,-,17,"-2,15 Mill. £",2006.0
184,177,Peterborough United,League Two,£1.89m,31,£225k,32,"-1,85 Mill. £",2006.0
185,178,GNK Dinamo Zagreb,1.HNL,£1.89m,34,£2.16m,26,300 Th. £,2006.0
186,179,Dnipro Dnipropetrovsk,Premier Liga,£1.85m,17,£1.35m,10,-560 Th. £,2006.0
187,180,CD América de Cali,Colombia,£1.80m,35,£1.23m,24,-630 Th. £,2006.0
188,181,VfL Bochum,Bundesliga,£1.76m,16,£1.35m,17,-450 Th. £,2006.0
189,182,Norwich City,Championship,£1.73m,26,£3.58m,21,"2,05 Mill. £",2006.0
190,183,Arminia Bielefeld,Bundesliga,£1.71m,13,£1.10m,12,-675 Th. £,2006.0
191,184,Cardiff City,Championship,£1.71m,39,£4.01m,34,"2,56 Mill. £",2006.0
192,185,Mamelodi Sundowns FC,ABSA Premiership,£1.67m,16,£68k,14,"-1,78 Mill. £",2006.0
193,186,Rosenborg BK,Eliteserien,£1.67m,8,£2.30m,10,700 Th. £,2006.0
194,187,Sheffield Wednesday,Championship,£1.66m,27,£3.81m,27,"2,39 Mill. £",2006.0
195,188,UC AlbinoLeffe,Serie B,£1.64m,20,-,18,"-1,82 Mill. £",2006.0
196,189,FC Groningen,Eredivisie,£1.63m,12,£3.83m,13,"2,44 Mill. £",2006.0
197,190,CD Cruz Azul,Liga MX Clausura,£1.62m,19,£6.30m,23,"5,20 Mill. £",2006.0
198,191,AC Mantova 1911,Serie B,£1.62m,8,-,10,"-1,80 Mill. £",2006.0
199,192,Atlanta Silverbacks FC,United States,£1.58m,13,-,5,"-1,75 Mill. £",2006.0
200,193,Bursaspor,Süper Lig,£1.53m,25,£675k,20,-950 Th. £,2006.0
201,194,Metalist Kharkiv,Premier Liga,£1.51m,8,-,12,"-1,68 Mill. £",2006.0
202,195,Asociación Atlética Argentinos Juniors,Torneo Final,£1.47m,25,£2.07m,28,665 Th. £,2006.0
203,196,Burnley FC,Championship,£1.46m,10,£167k,10,"-1,44 Mill. £",2006.0
204,197,Plymouth Argyle,Championship,£1.44m,26,-,22,"-1,60 Mill. £",2006.0
205,198,CSD Colo Colo,Chile,£1.44m,20,£9.50m,22,"8,97 Mill. £",2006.0
206,199,Chornomorets Odessa,Premier Liga,£1.40m,13,-,13,"-1,55 Mill. £",2006.0
207,200,FC Istres Ouest Provence,Ligue 2,£1.35m,24,-,23,"-1,50 Mill. £",2006.0
209,201,Hannover 96,Bundesliga,£1.35m,14,£4.26m,15,"3,23 Mill. £",2006.0
210,202,FC Bohemians Prag 1905,FNL,£1.35m,19,£405k,11,"-1,05 Mill. £",2006.0
211,203,Aarhus GF,NordicBet LIGA,£1.33m,15,£1.60m,16,300 Th. £,2006.0
212,204,Tiburones Rojos de Veracruz,Liga MX Clausura,£1.31m,31,-,29,"-1,46 Mill. £",2006.0
213,205,FC St. Gallen 1879,Super League,£1.29m,21,£833k,16,-505 Th. £,2006.0
214,206,SSC Napoli,Serie B,£1.26m,14,-,8,"-1,40 Mill. £",2006.0
215,207,AC Sparta Praha,Fortuna Liga,£1.26m,28,£2.72m,26,"1,63 Mill. £",2006.0
216,208,Queens Park Rangers,Championship,£1.26m,21,£2.16m,27,"1,00 Mill. £",2006.0
217,209,Zamalek SC,Premier League,£1.25m,11,£180k,10,"-1,19 Mill. £",2006.0
218,210,Swansea City,League One,£1.22m,18,£900k,14,-355 Th. £,2006.0
219,211,FC Lorient,Ligue 1,£1.22m,21,£1.80m,24,650 Th. £,2006.0
220,212,Heart of Midlothian FC,Premiership,£1.22m,27,£1.65m,34,485 Th. £,2006.0
221,213,AEK Athens,Super League,£1.22m,35,£3.69m,25,"2,75 Mill. £",2006.0
222,214,Sporting CP,Liga NOS,£1.22m,41,£4.86m,32,"4,05 Mill. £",2006.0
223,215,Ipswich Town,Championship,£1.20m,30,£1.98m,25,865 Th. £,2006.0
224,216,Hönefoss BK,OBOS-ligaen,£1.19m,12,£630k,9,-625 Th. £,2006.0
225,217,FK Chmel Blsany,FNL,£1.19m,17,£968k,29,-250 Th. £,2006.0
226,218,FC Arges Pitesti,Liga 1,£1.19m,27,£239k,18,"-1,06 Mill. £",2006.0
227,219,SK Brann,Eliteserien,£1.19m,15,£1.70m,16,570 Th. £,2006.0
228,220,Fredrikstad FK,Eliteserien,£1.15m,17,£1.15m,20,+-0,2006.0
229,221,Manchester United U18,England,£1.14m,9,-,12,"-1,27 Mill. £",2006.0
230,222,Inter Milan Primavera,Italy,£1.13m,21,-,22,"-1,26 Mill. £",2006.0
231,223,FK Rostov,Premier Liga,£1.13m,17,£68k,13,"-1,18 Mill. £",2006.0
232,224,Grasshopper Club Zurich,Super League,£1.13m,15,£1.32m,17,220 Th. £,2006.0
233,225,1.FC Nuremberg,Bundesliga,£1.13m,19,£6.68m,16,"6,18 Mill. £",2006.0
235,226,FK Lyn,Eliteserien,£1.13m,15,£18.68m,17,"19,51 Mill. £",2006.0
236,227,BSC Young Boys,Super League,£1.12m,25,£1.35m,22,260 Th. £,2006.0
237,228,IK Start,Eliteserien,£1.08m,11,£450k,18,-700 Th. £,2006.0
238,229,Sharjah Cultural Sports Club,United Arab Emirates,£1.08m,2,-,1,"-1,20 Mill. £",2006.0
239,230,RC Strasbourg Alsace,Ligue 2,£1.08m,24,£17.18m,25,"17,89 Mill. £",2006.0
240,231,Gimnàstic de Tarragona,LaLiga,£1.08m,20,£68k,31,"-1,13 Mill. £",2006.0
241,232,Al-Shaab CSC,United Arab Emirates,£1.08m,1,-,1,"-1,20 Mill. £",2006.0
242,233,Tom Tomsk,Premier Liga,£1.04m,11,£5.46m,13,"4,92 Mill. £",2006.0
243,234,Amkar Perm,Premier Liga,£1.04m,7,-,9,"-1,15 Mill. £",2006.0
244,235,Antalyaspor,Süper Lig,£1.04m,24,£900k,23,-150 Th. £,2006.0
245,236,Boavista Porto FC,Liga NOS,£990k,32,£3.56m,26,"2,85 Mill. £",2006.0
246,237,Genclerbirligi Ankara,Süper Lig,£963k,28,£1.91m,28,"1,06 Mill. £",2006.0
247,238,Everton FC U18,England,£945k,5,-,5,"-1,05 Mill. £",2006.0
248,239,Odense Boldklub,Superligaen,£945k,19,£2.09m,16,"1,28 Mill. £",2006.0
249,240,Southend United,Championship,£945k,29,£113k,25,-925 Th. £,2006.0
250,241,Grenoble Foot 38,Ligue 2,£945k,11,-,13,"-1,05 Mill. £",2006.0
251,242,FK Khimki,Premier Liga,£945k,18,£293k,19,-725 Th. £,2006.0
252,243,KAA Gent,Jupiler Pro League,£909k,29,£3.60m,23,"2,99 Mill. £",2006.0
253,244,Korona Kielce,Ekstraklasa,£909k,28,£720k,19,-210 Th. £,2006.0
254,245,Dyskobolia Grodzisk Wielkopolski,Ekstraklasa,£909k,22,£90k,15,-910 Th. £,2006.0
255,246,Malmö FF,Allsvenskan,£900k,16,£4.16m,24,"3,63 Mill. £",2006.0
256,247,Aris Thessaloniki,Super League,£900k,21,-,18,"-1,00 Mill. £",2006.0
257,248,LDU Quito,Ecuador,£900k,20,-,18,"-1,00 Mill. £",2006.0
258,249,Tromsø IL,Eliteserien,£900k,14,-,12,"-1,00 Mill. £",2006.0
259,250,Dundee United FC,Premiership,£878k,19,-,14,-975 Th. £,2006.0
261,1,Real Madrid,LaLiga,£106.20m,23,£36.36m,18,"-77,60 Mill. £",2007.0
262,2,Manchester United,Premier League,£93.15m,25,£41.94m,23,"-56,90 Mill. £",2007.0
263,3,Tottenham Hotspur,Premier League,£84.74m,30,£20.30m,23,"-71,60 Mill. £",2007.0
264,4,Bayern Munich,Bundesliga,£83.88m,14,£32.54m,12,"-57,05 Mill. £",2007.0
265,5,Liverpool FC,Premier League,£81.63m,32,£40.73m,27,"-45,45 Mill. £",2007.0
266,6,Atlético Madrid,LaLiga,£72.45m,22,£46.89m,16,"-28,40 Mill. £",2007.0
267,7,Manchester City,Premier League,£70.16m,32,£9.51m,26,"-67,39 Mill. £",2007.0
268,8,Valencia CF,LaLiga,£64.94m,34,£6.84m,22,"-64,55 Mill. £",2007.0
269,9,Juventus FC,Serie A,£62.51m,52,£30.26m,41,"-35,82 Mill. £",2007.0
270,10,FC Barcelona,LaLiga,£61.65m,13,£12.60m,8,"-54,50 Mill. £",2007.0
271,11,Sunderland AFC,Premier League,£57.89m,34,£2.88m,22,"-61,12 Mill. £",2007.0
272,12,Chelsea FC,Premier League,£53.10m,28,£39.29m,20,"-15,35 Mill. £",2007.0
273,13,Portsmouth FC,Premier League,£52.78m,28,£21.04m,25,"-35,27 Mill. £",2007.0
274,14,Shakhtar Donetsk,Premier Liga,£48.61m,26,£42.30m,16,"-7,01 Mill. £",2007.0
275,15,AS Roma,Serie A,£47.34m,39,£20.64m,28,"-29,67 Mill. £",2007.0
276,16,Middlesbrough FC,Premier League,£45.54m,20,£27.20m,23,"-20,38 Mill. £",2007.0
277,17,Fulham FC,Premier League,£44.49m,40,£17.55m,30,"-29,93 Mill. £",2007.0
278,18,Olympique Lyon,Ligue 1,£44.46m,17,£57.15m,18,"14,10 Mill. £",2007.0
279,19,West Ham United,Premier League,£41.94m,22,£36.90m,19,"-5,60 Mill. £",2007.0
280,20,SSC Napoli,Serie A,£39.66m,26,£554k,18,"-43,45 Mill. £",2007.0
281,21,FC Internazionale,Serie A,£37.62m,39,£12.82m,33,"-27,56 Mill. £",2007.0
282,22,Villarreal CF,LaLiga,£36.00m,29,£40.01m,26,"4,45 Mill. £",2007.0
283,23,SL Benfica,Liga NOS,£35.25m,54,£48.80m,44,"15,06 Mill. £",2007.0
284,24,Newcastle United,Premier League,£34.07m,20,£28.04m,16,"-6,70 Mill. £",2007.0
285,25,Everton FC,Premier League,£33.80m,19,£14.22m,19,"-21,75 Mill. £",2007.0
